orig, dest, cnt
cub_59_4_gadm2-8,kwt_121_4_gadm2-8,9
cub_59_4_gadm2-8,tza_227_9_gadm2-8,6
cub_59_7_gadm2-8,pry_177_5_gadm2-8,1
cub_59_7_gadm2-8,usa_244_37_gadm2-8,1
cub_59_8_gadm2-8,ita_112_10_gadm2-8,168
cuw_60_gadm2-8,esp_215_9_gadm2-8,1
cym_45_4_gadm2-8,alb_4_11_gadm2-8,2
cym_45_4_gadm2-8,bra_33_4_gadm2-8,6
cym_45_4_gadm2-8,swe_222_15_gadm2-8,2
cyp_61_2_gadm2-8,deu_86_2_gadm2-8,207
cyp_61_2_gadm2-8,grc_89_5_gadm2-8,23
cyp_61_2_gadm2-8,kaz_117_1_gadm2-8,5
cyp_61_2_gadm2-8,rus_188_9_gadm2-8,4
cze_62_12_gadm2-8,deu_86_1_gadm2-8,131
cze_62_12_gadm2-8,idn_106_25_gadm2-8,2
cze_62_12_gadm2-8,moz_153_5_gadm2-8,6
cze_62_12_gadm2-8,uzb_246_8_gadm2-8,3
cze_62_3_gadm2-8,deu_86_2_gadm2-8,32
cze_62_3_gadm2-8,jpn_114_27_gadm2-8,0
cze_62_3_gadm2-8,usa_244_5_gadm2-8,1
deu_86_10_gadm2-8,chn_49_3_gadm2-8,39
deu_86_10_gadm2-8,usa_244_48_gadm2-8,75
deu_86_15_gadm2-8,che_223_8_gadm2-8,8
deu_86_15_gadm2-8,dza_5_4_gadm2-8,1
deu_86_2_gadm2-8,omn_170_9_gadm2-8,134
deu_86_2_gadm2-8,sau_200_12_gadm2-8,2
deu_86_3_gadm2-8,bhs_18_21_gadm2-8,11
deu_86_3_gadm2-8,bra_33_7_gadm2-8,25
deu_86_3_gadm2-8,idn_106_11_gadm2-8,3
deu_86_3_gadm2-8,nor_169_7_gadm2-8,96
deu_86_3_gadm2-8,usa_244_47_gadm2-8,214
deu_86_3_gadm2-8,zaf_211_1_gadm2-8,38
deu_86_4_gadm2-8,aut_16_9_gadm2-8,1280
deu_86_5_gadm2-8,mex_145_27_gadm2-8,0
deu_86_5_gadm2-8,usa_244_20_gadm2-8,0
deu_86_6_gadm2-8,arg_12_13_gadm2-8,3
deu_86_6_gadm2-8,che_223_25_gadm2-8,4839
deu_86_6_gadm2-8,hkg_102_1_gadm2-8,202
deu_86_6_gadm2-8,kor_213_6_gadm2-8,1
deu_86_6_gadm2-8,mex_145_8_gadm2-8,4
deu_86_6_gadm2-8,mys_136_2_gadm2-8,3
deu_86_6_gadm2-8,rou_187_15_gadm2-8,5
deu_86_6_gadm2-8,tur_235_70_gadm2-8,6
deu_86_6_gadm2-8,zaf_211_1_gadm2-8,31
deu_86_7_gadm2-8,ita_112_5_gadm2-8,295
deu_86_7_gadm2-8,swe_222_9_gadm2-8,7
deu_86_9_gadm2-8,can_42_3_gadm2-8,14
deu_86_9_gadm2-8,chn_49_29_gadm2-8,0
deu_86_9_gadm2-8,rus_188_55_gadm2-8,18
deu_86_9_gadm2-8,usa_244_13_gadm2-8,4
dji_65_3_gadm2-8,usa_244_20_gadm2-8,1
dji_65_3_gadm2-8,usa_244_3_gadm2-8,0
dnk_64_1_gadm2-8,bra_33_7_gadm2-8,14
dnk_64_1_gadm2-8,irq_108_5_gadm2-8,126
dnk_64_1_gadm2-8,jpn_114_1_gadm2-8,36
dnk_64_1_gadm2-8,mex_145_5_gadm2-8,0
dnk_64_1_gadm2-8,mli_138_1_gadm2-8,26
dnk_64_1_gadm2-8,usa_244_20_gadm2-8,2
dnk_64_2_gadm2-8,idn_106_11_gadm2-8,0
dnk_64_3_gadm2-8,blr_22_5_gadm2-8,7
dnk_64_3_gadm2-8,usa_244_23_gadm2-8,14
dnk_64_3_gadm2-8,usa_244_39_gadm2-8,18
dnk_64_5_gadm2-8,are_241_3_gadm2-8,47
dnk_64_5_gadm2-8,dza_5_4_gadm2-8,18
dom_66_11_gadm2-8,esp_215_16_gadm2-8,29
dom_66_11_gadm2-8,prt_182_15_gadm2-8,36
dom_66_21_gadm2-8,che_223_8_gadm2-8,7
dom_66_21_gadm2-8,kaz_117_1_gadm2-8,0
dom_66_30_gadm2-8,bra_33_16_gadm2-8,12
dom_66_5_gadm2-8,chn_49_19_gadm2-8,4
dza_5_32_gadm2-8,fra_79_22_gadm2-8,880
dza_5_3_gadm2-8,dza_5_4_gadm2-8,893
dza_5_42_gadm2-8,mar_152_5_gadm2-8,3
dza_5_4_gadm2-8,deu_86_6_gadm2-8,70
dza_5_4_gadm2-8,ita_112_13_gadm2-8,58
dza_5_4_gadm2-8,mar_152_3_gadm2-8,12
dza_5_4_gadm2-8,rus_188_6_gadm2-8,1
dza_5_4_gadm2-8,tha_228_65_gadm2-8,18
dza_5_6_gadm2-8,dza_5_32_gadm2-8,116
ecu_68_10_gadm2-8,can_42_9_gadm2-8,162
ecu_68_14_gadm2-8,ecu_68_17_gadm2-8,3
ecu_68_19_gadm2-8,usa_244_40_gadm2-8,18
ecu_68_1_gadm2-8,esp_215_8_gadm2-8,0
ecu_68_1_gadm2-8,ita_112_13_gadm2-8,0
egy_69_11_gadm2-8,arg_12_18_gadm2-8,0
egy_69_11_gadm2-8,egy_69_22_gadm2-8,3264
egy_69_11_gadm2-8,sdn_218_6_gadm2-8,9
egy_69_17_gadm2-8,chn_49_22_gadm2-8,130
egy_69_22_gadm2-8,kor_213_6_gadm2-8,1
egy_69_22_gadm2-8,usa_244_26_gadm2-8,0
egy_69_22_gadm2-8,zaf_211_5_gadm2-8,2
egy_69_27_gadm2-8,kwt_121_4_gadm2-8,1475
egy_69_2_gadm2-8,usa_244_48_gadm2-8,1
esp_215_10_gadm2-8,mex_145_23_gadm2-8,63
esp_215_10_gadm2-8,usa_244_13_gadm2-8,0
esp_215_11_gadm2-8,che_223_8_gadm2-8,10
esp_215_11_gadm2-8,esp_215_7_gadm2-8,1
esp_215_11_gadm2-8,ita_112_5_gadm2-8,1
esp_215_12_gadm2-8,moz_153_5_gadm2-8,6
esp_215_13_gadm2-8,chn_49_13_gadm2-8,1
esp_215_13_gadm2-8,chn_49_30_gadm2-8,3
esp_215_13_gadm2-8,est_73_1_gadm2-8,16
esp_215_13_gadm2-8,ken_118_30_gadm2-8,3
esp_215_14_gadm2-8,deu_86_2_gadm2-8,9230
esp_215_14_gadm2-8,usa_244_41_gadm2-8,3
esp_215_16_gadm2-8,chl_48_7_gadm2-8,7
esp_215_16_gadm2-8,usa_244_28_gadm2-8,0
esp_215_17_gadm2-8,col_53_7_gadm2-8,0
esp_215_17_gadm2-8,mex_145_11_gadm2-8,0
esp_215_1_gadm2-8,chl_48_13_gadm2-8,95
esp_215_1_gadm2-8,irn_107_15_gadm2-8,1
esp_215_1_gadm2-8,mex_145_25_gadm2-8,0
esp_215_3_gadm2-8,bra_33_19_gadm2-8,15
esp_215_5_gadm2-8,ind_105_28_gadm2-8,1
esp_215_6_gadm2-8,cym_45_4_gadm2-8,20
esp_215_6_gadm2-8,mys_136_4_gadm2-8,208
esp_215_6_gadm2-8,nld_158_9_gadm2-8,8050
esp_215_6_gadm2-8,rou_187_36_gadm2-8,19
esp_215_6_gadm2-8,ukr_240_5_gadm2-8,17
esp_215_7_gadm2-8,idn_106_4_gadm2-8,1
esp_215_8_gadm2-8,bra_33_13_gadm2-8,113
esp_215_8_gadm2-8,bra_33_18_gadm2-8,4
esp_215_8_gadm2-8,fji_77_5_gadm2-8,7
esp_215_8_gadm2-8,ita_112_4_gadm2-8,275
esp_215_8_gadm2-8,usa_244_27_gadm2-8,10
esp_215_9_gadm2-8,can_42_3_gadm2-8,0
est_73_13_gadm2-8,khm_40_21_gadm2-8,1
est_73_1_gadm2-8,usa_244_39_gadm2-8,0
eth_74_11_gadm2-8,tcd_47_22_gadm2-8,2
eth_74_1_gadm2-8,mex_145_1_gadm2-8,0
eth_74_1_gadm2-8,nld_158_9_gadm2-8,187
eth_74_1_gadm2-8,ukr_240_17_gadm2-8,2
eth_74_2_gadm2-8,eth_74_6_gadm2-8,4
eth_74_8_gadm2-8,eth_74_10_gadm2-8,3
fin_78_2_gadm2-8,alb_4_11_gadm2-8,2
fin_78_2_gadm2-8,twn_225_2_gadm2-8,0
fin_78_3_gadm2-8,mar_152_5_gadm2-8,1
fin_78_4_gadm2-8,chn_49_19_gadm2-8,15
fin_78_4_gadm2-8,jpn_114_1_gadm2-8,288
fin_78_4_gadm2-8,mex_145_20_gadm2-8,0
fin_78_4_gadm2-8,mys_136_13_gadm2-8,5
fin_78_5_gadm2-8,fin_78_4_gadm2-8,2219
fin_78_5_gadm2-8,ita_112_10_gadm2-8,66
fin_78_5_gadm2-8,usa_244_10_gadm2-8,29
fji_77_2_gadm2-8,sgp_205_1_gadm2-8,1
fji_77_5_gadm2-8,cze_62_12_gadm2-8,3
fra_79_10_gadm2-8,nor_169_12_gadm2-8,13
fra_79_13_gadm2-8,fra_79_7_gadm2-8,476
fra_79_15_gadm2-8,dza_5_42_gadm2-8,2
fra_79_18_gadm2-8,hnd_101_6_gadm2-8,1
fra_79_18_gadm2-8,ukr_240_12_gadm2-8,45
fra_79_19_gadm2-8,hun_103_5_gadm2-8,480
fra_79_1_gadm2-8,chl_48_9_gadm2-8,3
fra_79_1_gadm2-8,dom_66_30_gadm2-8,14
fra_79_1_gadm2-8,idn_106_34_gadm2-8,0
fra_79_1_gadm2-8,ukr_240_8_gadm2-8,17
fra_79_21_gadm2-8,bhs_18_21_gadm2-8,17
fra_79_21_gadm2-8,mex_145_19_gadm2-8,17
